AM_hdw,EV_hdw,MD_hdw,PM_hdw,emme_description,emme_id,union_node,vehicle_descr,vehicle_num
105.0,0.0,0.0,0.0,Lakeshore West A E,GT01Ae,98012,E2L12,29
35.0,0.0,0.0,0.0,Lakeshore West B E,GT01Be,98012,E2L12,29
0.0,15.0,15.714285714285714,30.0,Lakeshore West C E,GT01Ce,98012,E1L6,28
26.25,0.0,0.0,30.0,Lakeshore West D E,GT01De,98012,E2L12,29
105.0,0.0,0.0,0.0,Lakeshore West E E,GT01Ee,98012,D1L6,30
105.0,0.0,0.0,0.0,Lakeshore West F E,GT01Fe,98012,D2L12,31
0.0,60.0,66.0,60.0,Lakeshore West G E,GT01Ge,98012,D1L6,30
105.0,60.0,66.0,60.0,Lakeshore West H E,GT01He,98012,D1L6,30
35.0,0.0,0.0,0.0,Lakeshore West I E,GT01Ie,98012,D2L12,31
210.0,0.0,330.0,0.0,Lakeshore West J E,GT01Je,98012,D1L6,30
210.0,0.0,0.0,0.0,Lakeshore West K E,GT01Ke,98012,D2L12,31
210.0,0.0,0.0,0.0,Lakeshore West L E,GT01Le,98012,D1L6,30
0.0,15.0,16.5,30.0,Lakeshore West A W,GT01Aw,98012,E1L6,28
15.0,0.0,165.0,30.0,Lakeshore West B W,GT01Bw,98012,E2L12,29
0.0,0.0,0.0,60.0,Lakeshore West C W,GT01Cw,98012,E1L6,28
0.0,0.0,0.0,120.0,Lakeshore West D W,GT01Dw,98012,D1L6,30
0.0,0.0,0.0,120.0,Lakeshore West E W,GT01Ew,98012,D2L12,31
70.0,100.0,66.0,120.0,Lakeshore West F W,GT01Fw,98012,D1L6,30
0.0,0.0,0.0,240.0,Lakeshore West G W,GT01Gw,98012,D2L12,31
70.0,75.0,66.0,240.0,Lakeshore West H W,GT01Hw,98012,D1L6,30
0.0,0.0,0.0,60.0,Lakeshore West I W,GT01Iw,98012,D2L12,31
210.0,100.0,330.0,0.0,Lakeshore West J W,GT01Jw,98012,D1L6,30
0.0,0.0,0.0,240.0,Lakeshore West K W,GT01Kw,98012,D2L12,31
0.0,0.0,0.0,120.0,Lakeshore West L W,GT01Lw,98012,D1L6,30
0.0,0.0,0.0,240.0,Lakeshore West M W,GT01Mw,98012,D1L6,30
19.09090909090909,0.0,0.0,0.0,Milton A E,GT02Ae,98014,D2L12,31
105.0,75.0,55.0,0.0,Milton B E,GT02Be,98014,D1L6,30
0.0,60.0,55.0,0.0,Milton A W,GT02Aw,98014,D1L6,30
0.0,0.0,0.0,21.818181818181817,Milton B W,GT02Bw,98014,D2L12,31
15.0,15.0,15.0,15.0,Kitchener A E,GT03Ae,98016,EMU4,32
30.0,30.0,30.0,30.0,Kitchener B E,GT03Be,98016,EMU4,32
70.0,0.0,0.0,0.0,Kitchener C E,GT03Ce,98016,D1L6,30
52.5,0.0,0.0,0.0,Kitchener D E,GT03De,98016,D2L12,31
210.0,75.0,66.0,120.0,Kitchener E E,GT03Ee,98016,D1L6,30
0.0,300.0,0.0,120.0,Kitchener F E,GT03Fe,98016,D2L12,31
210.0,30.0,30.0,30.0,Kitchener G E,GT03Ge,98016,D1L6,30
70.0,150.0,110.0,0.0,Kitchener H E,GT03He,98016,D1L6,30
52.5,0.0,330.0,240.0,Kitchener I E,GT03Ie,98016,D2L12,31
0.0,100.0,165.0,240.0,Kitchener J E,GT03Je,98016,D1L6,30
0.0,0.0,0.0,120.0,Kitchener K E,GT03Ke,98016,D2L12,31
15.0,15.0,15.0,15.0,Kitchener A W,GT03Aw,98016,EMU4,32
30.0,30.0,30.0,30.0,Kitchener B W,GT03Bw,98016,EMU4,32
35.0,30.0,30.0,0.0,Kitchener C W,GT03Cw,98016,D1L6,30
210.0,0.0,0.0,40.0,Kitchener D W,GT03Dw,98016,D1L6,30
0.0,0.0,0.0,60.0,Kitchener E W,GT03Ew,98016,D2L12,31
0.0,60.0,66.0,0.0,Kitchener F W,GT03Fw,98016,D1L6,30
70.0,0.0,0.0,0.0,Kitchener G W,GT03Gw,98016,D2L12,31
0.0,150.0,110.0,0.0,Kitchener H W,GT03Hw,98016,D1L6,30
70.0,0.0,0.0,0.0,Kitchener I W,GT03Iw,98016,D2L12,31
0.0,150.0,110.0,60.0,Kitchener J W,GT03Jw,98016,D1L6,30
0.0,300.0,0.0,60.0,Kitchener K W,GT03Kw,98016,D2L12,31
210.0,30.0,30.0,60.0,Barries A S,GT05As,98018,E1L6,28
35.0,0.0,0.0,60.0,Barries B S,GT05Bs,98018,E2L12,29
105.0,30.0,30.0,30.0,Barries C S,GT05Cs,98018,E1L6,28
42.0,0.0,0.0,0.0,Barries D S,GT05Ds,98018,E2L12,29
105.0,30.0,165.0,60.0,Barries E S,GT05Es,98018,E1L6,28
30.0,0.0,36.666666666666664,60.0,Barries F S,GT05Fs,98018,E2L12,29
42.0,30.0,30.0,60.0,Barries A N,GT05An,98018,E1L6,28
105.0,0.0,0.0,60.0,Barries B N,GT05Bn,98018,E2L12,29
70.0,30.0,30.0,60.0,Barries C N,GT05Cn,98018,E1L6,28
52.5,0.0,0.0,60.0,Barries D N,GT05Dn,98018,E2L12,29
42.0,33.333333333333336,30.0,30.0,Barries E N,GT05En,98018,E1L6,28
105.0,300.0,0.0,60.0,Barries F N,GT05Fn,98018,E2L12,29
52.5,150.0,165.0,0.0,Richmond Hill A S,GT06As,98019,D1L6,30
52.5,0.0,0.0,0.0,Richmond Hill B S,GT06Bs,98019,D2L12,31
0.0,100.0,110.0,0.0,Richmond Hill C S,GT06Cs,98019,D1L6,30
210.0,100.0,82.5,0.0,Richmond Hill A N,GT06An,98019,D1L6,30
0.0,150.0,330.0,60.0,Richmond Hill B N,GT06Bn,98019,D1L6,30
0.0,0.0,0.0,60.0,Richmond Hill C N,GT06Cn,98019,D2L12,31
15.0,15.0,15.0,15.0,Stouffville A S,GT07As,98020,EMU4,32
35.0,42.857142857142854,55.0,40.0,Stouffville B S,GT07Bs,98020,EMU4,32
210.0,100.0,66.0,120.0,Stouffville C S,GT07Cs,98020,EMU4,32
210.0,0.0,165.0,240.0,Stouffville D S,GT07Ds,98020,E1L6,28
35.0,0.0,0.0,0.0,Stouffville E S,GT07Es,98020,E1L12,33
15.0,15.0,15.0,15.0,Stouffville A N,GT07An,98020,EMU4,32
42.0,60.0,66.0,34.285714285714285,Stouffville B N,GT07Bn,98020,EMU4,32
105.0,60.0,55.0,240.0,Stouffville C N,GT07Cn,98020,EMU4,32
0.0,300.0,0.0,80.0,Stouffville D N,GT07Dn,98020,E1L6,28
0.0,0.0,0.0,30.0,Stouffville E N,GT07En,98020,E1L12,33
0.0,15.0,15.0,30.0,Lakeshore East A W,GT09Aw,98021,E1L6,28
15.0,0.0,0.0,30.0,Lakeshore East B W,GT09Bw,98021,E2L12,29
52.5,60.0,55.0,120.0,Lakeshore East C W,GT09Cw,98021,D1L6,30
26.25,0.0,0.0,120.0,Lakeshore East D W,GT09Dw,98021,D2L12,31
0.0,15.0,16.5,30.0,Lakeshore East A E,GT09Ae,98021,E1L6,28
15.0,0.0,165.0,30.0,Lakeshore East B E,GT09Be,98021,E2L12,29
210.0,60.0,55.0,24.0,Lakeshore East C E,GT09Ce,98021,D1L6,30
105.0,0.0,0.0,120.0,Lakeshore East D E,GT09De,98021,D2L12,31
