consist_type,standard_coach_seats,standard_coach_standing,accessibility_coach_seats,accessibility_coach_standing,standard_coaches,accessibility_coaches,total_seats,total_standing,total_capacity
GoTrn1D4,150,62,130,62,3,1,580,248,828
GoTrn1E4,150,62,130,62,3,1,580,248,828
GoTrn1E5,150,62,130,62,4,1,730,310,1040
GoTrn2D12,150,62,130,62,11,1,1780,744,2524
GoTrn2D8,150,62,130,62,7,1,1180,496,1676
GoTrn2E8,150,62,130,62,7,1,1180,496,1676
GoTrn2E10,150,62,130,62,9,1,1480,620,2100
GoTrn1D10,150,62,130,62,9,1,1480,620,2100
GoTrn2D10,150,62,130,62,9,1,1480,620,2100
GoTrn1D6,150,62,130,62,5,1,880,372,1252
GoTrn1D12,150,62,130,62,11,1,1780,744,2524
GoTrn1D7,150,62,130,62,6,1,1030,434,1464
GoTrn1D8,150,62,130,62,7,1,1180,496,1676
GoTrn3D24,150,62,130,62,23,1,3580,1488,5068
GoTrn1D5,150,62,130,62,4,1,730,310,1040
GoTrn3DMU,58,50,0,0,3,0,174,150,324
GoTrnDMU3,58,50,0,0,3,0,174,150,324
GoTrnEMU12,79,77,0,0,12,0,948,924,1872
GoTrn12EMU,79,77,0,0,12,0,948,924,1872
